,color,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,language,budget,imdb_score,aspect_ratio,movie_facebook_likes,Continent,title_year_bins,main_genre,English,Other-language,Action,Adventure,Comedy,Drama,Other-gen, Black and White,Color,<=2000,>2000,Africa,America,Asia,Europe,Oceania,Other-continent
0,Color,723.0,178.0,0.0,855.0,936.0,1000.0,760505847.0,886204,4834,3054.0,English,237000000.0,7.9,1.78,33000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
1,Color,302.0,169.0,563.0,1000.0,5000.0,40000.0,309404152.0,471220,48350,1238.0,English,300000000.0,7.1,2.35,0,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
2,Color,602.0,148.0,0.0,161.0,393.0,11000.0,200074175.0,275868,11700,994.0,English,245000000.0,6.8,2.35,85000,Europe,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
3,Color,813.0,164.0,22000.0,23000.0,23000.0,27000.0,448130642.0,1144337,106759,2701.0,English,250000000.0,8.5,2.35,164000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
5,Color,462.0,132.0,475.0,530.0,632.0,640.0,73058679.0,212204,1873,738.0,English,263700000.0,6.6,2.35,24000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
6,Color,392.0,156.0,0.0,4000.0,11000.0,24000.0,336530303.0,383056,46055,1902.0,English,258000000.0,6.2,2.35,0,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
7,Color,324.0,100.0,15.0,284.0,553.0,799.0,200807262.0,294810,2036,387.0,English,260000000.0,7.8,1.85,29000,America,>2000,Adventure,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
8,Color,635.0,141.0,0.0,19000.0,21000.0,26000.0,458991599.0,462669,92000,1117.0,English,250000000.0,7.5,2.35,118000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
9,Color,375.0,153.0,282.0,10000.0,11000.0,25000.0,301956980.0,321795,58753,973.0,English,250000000.0,7.5,2.35,10000,Europe,>2000,Adventure,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
10,Color,673.0,183.0,0.0,2000.0,4000.0,15000.0,330249062.0,371639,24450,3018.0,English,250000000.0,6.9,2.35,197000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
11,Color,434.0,169.0,0.0,903.0,10000.0,18000.0,200069408.0,240396,29991,2367.0,English,209000000.0,6.1,2.35,0,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
12,Color,403.0,106.0,395.0,393.0,412.0,451.0,168368427.0,330784,2023,1243.0,English,200000000.0,6.7,2.35,0,Europe,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
13,Color,313.0,151.0,563.0,1000.0,5000.0,40000.0,423032628.0,522040,48486,1832.0,English,225000000.0,7.3,2.35,5000,America,>2000,Action,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0
